name,longitude,latitude
Eversholt Pool,-0.5716217,51.9841863
Woburn Lido,-0.6188606,51.9933199
Northcroft Leisure Centre,-1.3328316,51.4032175
Aqua Vale Swimming and Fitness Centre,-0.8035911,51.8179063
Chesham Moor Gym & Swim,-0.6069445,51.6970325
Wycombe Rye Lido,-0.738624,51.623387
Jesus Green Lido,0.1234328,52.2128828
Peterborough Lido Outdoor Swimming Pool,-0.2386831,52.5701659
Northwich Pool,-2.5234407,53.2826016
Nantwich Swimming Pool And Gym,-2.5245669,53.0693994
Bude Sea pool,-4.5539872,50.8326695
Hayle Swimming Pool,-5.4228505,50.1891537
Jubilee Pool Penzance Pool & Cafe,-5.5315261,50.1149628
Stanhope Pool,-2.0140857,54.7483119
Askham Outdoor Swimming Pool,-2.7541715,54.6064792
Greystoke & District Swimming Pool,-2.8669231,54.6691559
Hunsonby,-2.652587,54.715531
Shap Swimming Pool,-2.6736634,54.5285829
Lazonby & District Swimming Pool,-2.6978578,54.7525255
Hathersage Swimming Pool,-1.6531568,53.3287706
Ashburton Swimming Pool,-3.7518954,50.5159576
Bovey Tracey Swimming Pool,-3.6779952,50.5869045
Buckfastleigh Open Air Pool & Skatepark,-3.7796232,50.4798224
Chagford Swimming Pool,-3.8329143,50.6811065
Chudleigh Swimming Pool,-3.601113,50.6026121
Clyst Hydon Swimming Pool,-3.3816068,50.8042039
Cornwall House Outdoor Pool,-3.5291117,50.7344095
Dartington Outdoor Swimming Pool,-3.7118212,50.4476332
Dartmouth Open Air Heated Public Pool,-3.595058,50.3468218
Kingsteignton Swimming Pool,-3.6016263,50.5582026
Moretonhampstead Swimming Pool,-3.7684302,50.6612093
Mount Wise Swimming Pools,-4.1736624,50.3653923
Salcombe & District Swimming Pool Association,-3.7774437,50.2379816
Shoalstone Seawater Pool (open May-September),-3.498759,50.401233
Teignmouth Lido,-3.4914985,50.5484393
Tinside Lido,-4.1421825,50.3632303
Topsham Swimming Pool,-3.4644135,50.6861087
Tunnels Beaches,-4.1268472,51.2090222
Westward Ho! Sea Pool - the Rock Pool,-4.2430891,51.040802
Shaftesbury Oasis Swimming Pool,-2.1939208,51.008104
Brightlingsea Lido,1.0172643,51.807322
King's Oak Hotel,0.0399808,51.6642738
Woodup Pool,0.8494827,51.7589874
Cirencester Open Air Swimming Pool,-1.9744681,51.7190972
Northleach Open Air Swimming Pool,-1.8384799,51.8272878
Sandford Parks Lido,-2.0698049,51.893347
Stratford Park Leisure Centre,-2.2252125,51.749973
Wotton Under Edge Swimming Pool,-2.3548473,51.6360608
Aldershot Lido,-0.7458629,51.2356827
